KMC,freq
기대감,80
첨단,314
잠재,47
마크로,1
엠브레인,1
성인,169
남녀,110
설문,56
태도,337
불안감,71
평가,714
454,2
514,2
544,1
상대적,76
응답,47
49,2
30대,36
연상,22
마찬가지,162
462,1
중복,20
신의,27
364,1
354,1
전체,433
294,3
266,1
혼란,103
236,2
226,2
22,8
211,1
208,1
단절,58
192,1
계층,153
양극,81
881,1
이견,12
여유,77
624,1
문명,179
대다수,46
455,1
소용,14
연령,83
보유,111
자산,187
283,1
존엄성,32
훼손,22
521,5
남성남,2
496,1
449,2
수명 연장,7
329,1
292,1
여가,164
증대,80
244,3
205,2
567,2
564,1
로봇과 인공지능,24
경시,16
풍조,14
진입,117
481,2
452,1
398,1
389,1
신종,17
출현,100
383,2
불평등,123
346,1
압도,32
장년,27
비중,115
절반,91
응답자,20
실업,88
초래,83
직업군,62
직종,115
918,1
동의,74
필두,12
항공우주,14
생명과학,43
801,1
배터리,54
임상,39
리사,20
재난,99
대처,168
위기관리,2
647,1
수사관,2
643,1
검역,2
576,1
기획자,35
만화가,14
웹툰,18
62,2
특수,83
535,1
53,2
테마파크,2
디자이너,85
항공기 정비,1
48,1
137,1
143,1
어업,5
174,1
농업,176
196,1
용접,12
209,2
지배인,5
648,2
의학,144
업종,22
상당,87
활용도,18
614,1
기피,24
397,2
39,6
제조업,172
312,1
도우미,26
221,1
사고기능,4
중학,17
내심,5
30,30
동등,21
유지,419
일부,278
조언,95
우세,18
극단,65
175,1
665,1
70,13
436,2
도구,252
성별,39
79,2
해치,3
유출,50
현명,73
믿음,75
24,27
543,1
298,1
652,1
낙관,45
역기능,15
순기능,9
투자가,40
선도,226
299,1
확보,242
정비,66
대비,671
화제,34
382,1
55,3
승승장구,2
541,1
461,1
주체,166
고유,120
585,1
감정이입,7
486,1
47,18
45,6
288,1
상항,2
269,1
예기,12
허락,21
소유,155
394,1
108,1
102,5
잘못,101
소지,13
의뢰,20
기획,189
II,14
여부,106
인공,295
다운,80
유료,10
회원,105
로봇산업,11
김영화,2
강동,20
소아,4
정신건강,6
눈물,61
과학도,2
결실,13
사고력,239
창의력,298
직관,46
필자,71
진료실,4
환자,142
보니,215
아이와,34
병원,129
직감,7
인지과학,12
증상,115
육감,17
관력,10
하루아침,12
증명,61
시간문제,3
자기공명영상,3
MRI,2
판독,13
퀴즈,30
클리닉,14
폐암,6
급속,71
기간,321
전문직,78
다보스,11
어린이,185
65,19
공포심,6
100년,22
종속,37
스티븐 호킹,9
동조,18
분위기,156
여자,189
남자,196
계산,149
최종목표,3
여학생,32
남학생,24
공계,82
2005년 1월,2
하바,8
랜스,2
서머,5
위원회,182
모임,145
지성,250
발언,39
당시,189
근거,128
남자들,31
양쪽,12
섬유,32
다발,17
뇌량,2
수학,814
한때,25
유행,94
성차,40
덕분,88
9월,50
호르몬,41
우리,251
편견,42
운운,8
양평,6
게재,23
김영,12
화원,4
장님,9
공명,9
안재홍,1
스토리,152
AA,1
월간,20
지방자치,3
개발원,43
향상,362
교육과정,607
등록,153
행정,180
분말,7
액체,25
고체,5
3차원,50
입체,28
을제,20
물체,21
가공,72
대조,7
모형,48
시제품,11
제작,245
우선순위,34
발간,71
중점,75
문제점,155
그간,54
측면,340
근간,52
거시,34
탐구,155
책자,19
방향성,63
목차,65
편안,98
창문,39
도어,10
가구,212
네트워크,369
인간성,61
생산자,35
프로슈머,10
혼재,9
친환경,100
보장,227
여정,26
통일,109
남북한,17
문제해결,230
원문,74
첨부,180
파일,354
03,16
플렉서블 디스플레이,1
플렉서블,1
디스플레이,35
원규,4
발제,41
토론,492
학번,11
후배,15
후후,1
쇼크,27
한경,16
독일,221
생략,15
하원,5
인성,277
공청회,10
경기도교육청,20
교육감,93
이재정,4
10월 31일,7
북부,11
청사,13
계획안,10
구체적,191
실행,156
접근방법,13
공동체,310
수렴,50
교원,161
단체,259
관계자,80
제로,105
2017,29
의의,35
안내,241
봉일천초등학교,1
교장,118
편성,41
학교문화,5
조성,131
세부,120
민주,206
시민,611
다시,45
민성,3
참가자,47
시도,197
2015년 7월,3
진흥,95
2015년 10월,2
조례,22
확정,35
김정덕,2
교육과장,1
권리,109
존중,158
평화통일,2
지향,202
평화,123
포용,37
중시,108
체제,370
김병철,1
발생적,5
오랫동안,94
싱크로,1
니시,3
티에,3
전자기장,1
발견,288
화폐,182
존속,16
재능,127
이토,8
프리,43
갖가지,6
품목,18
한정,61
공급,207
결핍,26
토대,137
로한,3
문자,116
미하일,1
통화,62
테크닉,4
간도,5
서로,129
제목,166
비고,8
사무직,24
실업률,50
과학부,10
베스트셀러,38
시큐리티,7
협회,103
도서,168
반려,25
수정과,2
행동경제학,5
크라우드펀딩,7
지대한,10
서평,46
IF,1
18,3
성수,6
충북대학교,5
잠재성장률,1
하락,60
노인,404
세대,566
기계로,28
학벌,24
성적,196
실력,115
외관,11
엔진,65
작동,111
바가,30
현대,466
우선,88
한국전쟁,9
3년,52
동족상잔,1
비극,36
국토,30
폐허,11
인명,9
피해,102
한강,7
다리,47
약탈,5
학력,111
절대,158
하층민,7
위기감,10
자식,53
교육열,9
동네,38
부잣집,2
어른,128
자발,41
임시,16
건물,133
개천,6
공터,1
대청마루,1
남한,13
인당,44
국민소득,16
달성,134
배출,125
동력,97
낙오,16
고통,115
피폐,8
해진,34
OECD,71
회원국,17
꼴찌,5
불명예,1
불허,8
구조도,3
개성,76
상품,288
표준,162
공장,211
정반대,5
근본,152
평생직장,10
단거리,4
장거리,16
개개인,105
핵심 역량,46
각자,95
비관,42
만족,167
여진,6
수석,63
목적,409
전인,61
스페셜리스트,17
너머,24
슈퍼,47
제너럴,29
리스트,66
담론,69
실내,59
스포츠,270
스노보드,10
캠프,115
요새,27
브런치,12
일수,29
타이틀,23
유입,23
정한,18
어그,1
로라,6
유인,14
별거,5
통찰력,60
통찰,77
대안,200
도덕,79
정답,133
함입,7
척도,16
아니,95
대외,38
스펙,70
문턱,8
와서,15
하루하루,15
썰전,9
코너,25
그날,28
추억,30
감독,137
릴리,5
워쇼,6
스키,255
라나,6
출연,94
키아누 리브스,2
로렌스,3
피시,4
캐리,4
모스,3
휴고 위빙,2
글로리아 포스터,2
1999,7
국상,5
대학교,138
진짜,24
네오,16
배신자,1
사이퍼,3
요원,34
타협,14
스테이크,8
배신,12
인가,311
나비,12
안과,16
글렌,24
페스,9
굿모닝,7
미디어,234
ㄱ당,84
깊은 생각,3
하면,93
군가,126
사변,3
당장,110
언가,45
머릿속,40
이참,6
니콜,15
우마 서먼,3
1997,2
다수,118
소외,82
바이센테니얼맨,5
니어,50
크리스 콜럼버스,3
로빈 윌리엄스,5
본질,146
블레이드 러너,27
리들리 스콧,4
해리슨 포드,3
1982,4
유니콘,10
경악,6
진실,61
카프,8
리오,14
인셉션,3
스티븐 스필버그,15
막판,4
반전,10
장치,147
간직,11
목록,91
블레이드,6
러너,8
네트워크 보안,4
2020년,28
베스트,20
셀러,13
개요,57
선출,9
한국정보화진흥원,16
신간,6
2050년,36
사고방식,59
확장,199
키워드,195
KBS,19
북한,76
정돈,8
저작권,53
도표,15
명견만리,39
대한민국의 인구,5
은퇴,76
폭탄,17
실종,14
마당,30
성장기,7
2016년,39
행운,13
개발도상국,21
온라인,432
세계 경제,49
물결,94
거란,13
초등학교,244
입학,353
종사,55
말하자면,33
조카,8
편입,55
리치,9
우주 경쟁,1
우주선,23
로켓,24
발사,15
그중,60
상업,64
중인,32
제프 베조스,6
오리진,4
언론,88
스페이스X,9
체결,72
폭발,89
며칠,49
화성,32
정착,73
네덜란드,22
마스,16
이나,23
우주 엘리베이터,1
특허,58
캐나다,101
나뭇잎,11
신체,164
식해,4
우주 공간,2
현주소,23
활보,3
영리,54
지원자,38
티켓,13
후보,85
선발,193
미국인,18
북미,15
유럽인,5
아시아,105
아프리카,49
오세아니아,8
계가,12
의외,4
친숙,29
문외한,3
체인지,6
메이킹,22
상호,151
결국,48
이개,1
최소한,76
덕목,39
윤택,17
보라색,7
전자화폐,4
소행성,4
광업,4
노화,56
날씨,81
수면,40
중력,11
초고,58
운송,60
인스턴트,4
분해,25
장기,271
17,4
에너지 저장,14
전화번호,16
가상 주소,1
설립자,14
네그로폰테,1
섭취,51
2014년 3월,1
물건,208
재현,22
박영숙,64
교보문고,26
전성기,5
아집,3
뇌파,10
관찰,94
장애인,165
휠체어,8
바닷물,4
담수,3
금속,33
소금물,3
화학,87
공정,100
타당성,19
경량,3
탄소,37
태양,93
풍력,23
잉여,24
전기,293
접목,92
박동수,1
스트레스,138
지수,63
표시,86
나노와이어,5
리튬,9
이온,30
충전,51
스크린,26
3차원 디스플레이,1
공간,659
전달,271
미생물,18
치료법,29
중병,3
증진,67
핵산,4
단백질,65
합성,52
약물,33
감염,40
치료제,13
도시계획,15
학창,18
전지,48
축적,97
청소년기,23
공모전,215
나이,131
안목,32
가랑비,2
속담,14
이슬,3
빗방울,4
한참,26
습관,192
혜안,19
콘서트,91
